Index,True Label,Predicted Label,sentence,word_index
208,1,0,"They held up the bright new diesel buses and , even worse , blocked the progress of private motorists in bulbous Austins and lumpen Humbers in canyon-like city thoroughfares .",23
214,0,1,They picked up power from a spider 's web of unsightly overhead wires .,3
221,1,0,"They were inflexible in operation , draughty , and mobile reminders of TB epidemics with the enamelled ‘ Do Not Spit ’ signs screwed to their bulkheads .",4
223,0,1,"They were inflexible in operation , draughty , and mobile reminders of TB epidemics with the enamelled ‘ Do Not Spit ’ signs screwed to their bulkheads .",9
242,0,1,It plays a key role in keeping city streets on the move and is even the object of the best modern designers ' desire .,11
244,0,1,It plays a key role in keeping city streets on the move and is even the object of the best modern designers ' desire .,16
254,1,0,"In Milan , for example , the commission to design the new generation of ‘ Jumbo ’ trams , which went into service in 1979 , was one that leading Italian architects and designers fought over .",12
259,1,0,"In Milan , for example , the commission to design the new generation of ‘ Jumbo ’ trams , which went into service in 1979 , was one that leading Italian architects and designers fought over .",29
265,1,0,"After all , the Jumbo , a handsome and imposing articulated unit designed by architect , engineer and critic Klaus Giovanni Koenig , will be seen on the streets of Milan for the next half-century .",7
280,1,0,"After all , the Jumbo , a handsome and imposing articulated unit designed by architect , engineer and critic Klaus Giovanni Koenig , will be seen on the streets of Milan for the next half-century .",34
289,0,1,"Spotlessly clean and popular , the Jumbo is a long-term advertisement for Koenig 's design skills .",15
293,0,1,The modern tram is a green machine .,6
294,1,0,"Assuming the power station at the end of the line burns cleanly , the tram is virtually pollution free .",0
299,1,0,"Assuming the power station at the end of the line burns cleanly , the tram is virtually pollution free .",10
304,1,0,"Assuming the power station at the end of the line burns cleanly , the tram is virtually pollution free .",18
305,1,0,"Standing at traffic lights a Koenig-designed Jumbo is , save for the chatter inside , completely silent .",0
317,1,0,The overhead wires are so slight that you have to look hard to see them .,5
319,1,0,The overhead wires are so slight that you have to look hard to see them .,11
321,0,1,"Powers of acceleration and braking are remarkable , the latter far greater than any car .",0
333,1,0,"But sadly , there is no indication that the GMA consortium which will design , operate and maintain the first of the new generation British trams in Manchester will share the looks of their Milanese counterparts .",13
334,1,0,"But sadly , there is no indication that the GMA consortium which will design , operate and maintain the first of the new generation British trams in Manchester will share the looks of their Milanese counterparts .",15
335,1,0,"But sadly , there is no indication that the GMA consortium which will design , operate and maintain the first of the new generation British trams in Manchester will share the looks of their Milanese counterparts .",17
338,1,0,"But sadly , there is no indication that the GMA consortium which will design , operate and maintain the first of the new generation British trams in Manchester will share the looks of their Milanese counterparts .",23
347,1,0,"Artists ' impressions show a tram that has more in common with the flat-faced , characterless light trains of the toy-like Docklands Light Railway .",2
351,1,0,"Artists ' impressions show a tram that has more in common with the flat-faced , characterless light trains of the toy-like Docklands Light Railway .",13
353,1,0,"Artists ' impressions show a tram that has more in common with the flat-faced , characterless light trains of the toy-like Docklands Light Railway .",16
381,1,0,"After all , Mancunians and visitors to the Manchester conurbation are going to have to look at these mechanical millipedes for well into the twenty-first century .",19
398,1,0,Manchester is not alone .,3
411,1,0,"These are all referred to as ‘ supertram ’ networks , the implication being that the new-generation tram is an altogether more dynamic form of transport than its pre-war predecessors .",16
414,1,0,"These are all referred to as ‘ supertram ’ networks , the implication being that the new-generation tram is an altogether more dynamic form of transport than its pre-war predecessors .",22
418,1,0,"These are all referred to as ‘ supertram ’ networks , the implication being that the new-generation tram is an altogether more dynamic form of transport than its pre-war predecessors .",29
423,1,0,What it really means is that the new trams are a hybrid between street car and lightweight suburban train .,11
457,1,0,"The supertram is , in effect , a low-cost replacement for British Rail 's ageing fleet of suburban diesel multiple-unit trains , those rasping diesels which change gear to the accompaniment of voluminous clouds of acrid black exhaust fumes and the blessing of train spotters .",8
461,1,0,"The supertram is , in effect , a low-cost replacement for British Rail 's ageing fleet of suburban diesel multiple-unit trains , those rasping diesels which change gear to the accompaniment of voluminous clouds of acrid black exhaust fumes and the blessing of train spotters .",14
462,1,0,"The supertram is , in effect , a low-cost replacement for British Rail 's ageing fleet of suburban diesel multiple-unit trains , those rasping diesels which change gear to the accompaniment of voluminous clouds of acrid black exhaust fumes and the blessing of train spotters .",15
471,1,0,"The supertram is , in effect , a low-cost replacement for British Rail 's ageing fleet of suburban diesel multiple-unit trains , those rasping diesels which change gear to the accompaniment of voluminous clouds of acrid black exhaust fumes and the blessing of train spotters .",30
472,1,0,"The supertram is , in effect , a low-cost replacement for British Rail 's ageing fleet of suburban diesel multiple-unit trains , those rasping diesels which change gear to the accompaniment of voluminous clouds of acrid black exhaust fumes and the blessing of train spotters .",32
492,1,0,"And although the supertram concept will spread through major cities during the next decade , Blackpool will still be alone in its use of traditional double-deckers .",12
497,1,0,"And although the supertram concept will spread through major cities during the next decade , Blackpool will still be alone in its use of traditional double-deckers .",22
503,0,1,"BOOK REVIEW / The cause without a rebel : ‘ The Pale Companion ’ — Andrew Motion : Viking , 11.95 pounds",7
512,1,0,"IT WAS unfair of Auden to suggest , in his ‘ Letter to Lord Byron ’ , that a poet 's ‘ sense of other people 's very hazy ’ .",6
521,1,0,But the vaporous presences that float through this slender and anaemic first novel by a notable poet would appear to support the claim .,3
524,1,0,But the vaporous presences that float through this slender and anaemic first novel by a notable poet would appear to support the claim .,10
539,1,0,The book — which opens a projected sequence of novels that will cover the period from 1968 to the present day — aims to explore what the blurb describes as ‘ the painful transition from youth to adulthood ’ .,19
546,0,1,The book — which opens a projected sequence of novels that will cover the period from 1968 to the present day — aims to explore what the blurb describes as ‘ the painful transition from youth to adulthood ’ .,33
556,0,1,"This , of course , is a popular subject : it seems particularly attractive to the poet-turned-novelist because of the scope it offers for the tremulously sensitive probing of feelings .",20
557,0,1,"This , of course , is a popular subject : it seems particularly attractive to the poet-turned-novelist because of the scope it offers for the tremulously sensitive probing of feelings .",22
562,1,0,"Sensitivity , though , is not enough .",0
568,0,1,What Andrew Motion presents us with here is a static and humourless mood-piece filled with over-elaborate imagery .,9
569,1,0,What Andrew Motion presents us with here is a static and humourless mood-piece filled with over-elaborate imagery .,11
570,1,0,What Andrew Motion presents us with here is a static and humourless mood-piece filled with over-elaborate imagery .,12
572,1,0,What Andrew Motion presents us with here is a static and humourless mood-piece filled with over-elaborate imagery .,16
598,1,0,"His mother , by contrast , is the most vividly realised character in the book : nervy , flirtatious and selfish , already on her third husband , she thinks primarily of her appearance , even when visiting her dying daughter , Francis 's twin .",9
599,0,1,"His mother , by contrast , is the most vividly realised character in the book : nervy , flirtatious and selfish , already on her third husband , she thinks primarily of her appearance , even when visiting her dying daughter , Francis 's twin .",10
618,0,1,The first half of the novel is dominated by the girl 's death from leukaemia .,2
624,1,0,"There is a refreshing simplicity and tenderness in Motion 's account of the way Francis nurses her , but she herself is too sketchily drawn for the episode to carry much weight .",3
626,1,0,"There is a refreshing simplicity and tenderness in Motion 's account of the way Francis nurses her , but she herself is too sketchily drawn for the episode to carry much weight .",6
651,1,0,"He is finally rejected by the devious , arrogant Keith , who informs him that he is ‘ obsolete ’ because he does not ‘ know how to make things happen ’ .",6
655,1,0,"He is finally rejected by the devious , arrogant Keith , who informs him that he is ‘ obsolete ’ because he does not ‘ know how to make things happen ’ .",18
676,1,0,"This violent event , described at length in hysterically colourful terms , is the only piece of history to be woven convincingly into the plot .",8
712,0,1,But the book 's principal defect remains the vacuity of its protagonist .,5
713,0,1,But the book 's principal defect remains the vacuity of its protagonist .,6
715,0,1,But the book 's principal defect remains the vacuity of its protagonist .,11
717,0,1,"In his eagerness to depict the cloudy psychology of an adolescent , Motion has forgotten to give the boy a personality .",4
728,0,1,"He has , however , given him a psychotic compulsion to formulate fanciful similes .",8
758,0,1,"One moment an avenue of chestnut trees looks ‘ like a child 's drawing of ghosts ’ ; the next it appears ‘ frightening but derelict , like extinguished chandeliers ’ ; and finally the chestnuts ‘ prance at him , holding up their gleaming branches like hysterics . ’",23
759,0,1,"One moment an avenue of chestnut trees looks ‘ like a child 's drawing of ghosts ’ ; the next it appears ‘ frightening but derelict , like extinguished chandeliers ’ ; and finally the chestnuts ‘ prance at him , holding up their gleaming branches like hysterics . ’",25
771,0,1,"Such writing rapidly palls , and I hope that in the novels to come , Motion can curb his reckless passion for it .",3
776,0,1,"Such writing rapidly palls , and I hope that in the novels to come , Motion can curb his reckless passion for it .",17
777,0,1,"Such writing rapidly palls , and I hope that in the novels to come , Motion can curb his reckless passion for it .",19
780,1,0,Travel : A pilgrimage sans progress Elisabeth de Stroumillo potters round Poitou,3
782,1,0,Travel : A pilgrimage sans progress Elisabeth de Stroumillo potters round Poitou,5
793,1,0,PEOPLE tend to look vague when you mention Poitou .,3
794,1,0,PEOPLE tend to look vague when you mention Poitou .,4
798,1,0,‘ Umm … not a part of France we know … where exactly is it ? ’,5
811,0,1,"You sort of pass it without realising , going to the Dordogne .",3
828,1,0,"Even for France , the variety to be found is enormous .",8
835,1,0,"My passion is for its numerous Romanesque churches , in most cases humbly proportioned but elevated into unique works of art by the richness of their exquisitely-sculpted decoration ; to go to Poitou/Saintonge and not look at any of its churches would be like going to an African game reserve and ignoring the animals .",12
841,0,1,"My passion is for its numerous Romanesque churches , in most cases humbly proportioned but elevated into unique works of art by the richness of their exquisitely-sculpted decoration ; to go to Poitou/Saintonge and not look at any of its churches would be like going to an African game reserve and ignoring the animals .",23
847,1,0,"My passion is for its numerous Romanesque churches , in most cases humbly proportioned but elevated into unique works of art by the richness of their exquisitely-sculpted decoration ; to go to Poitou/Saintonge and not look at any of its churches would be like going to an African game reserve and ignoring the animals .",44
852,1,0,"My passion is for its numerous Romanesque churches , in most cases humbly proportioned but elevated into unique works of art by the richness of their exquisitely-sculpted decoration ; to go to Poitou/Saintonge and not look at any of its churches would be like going to an African game reserve and ignoring the animals .",53
866,1,0,"For serious drinkers there is the production of cognac to investigate around Cognac , plus the chance to sample pineau , the powerful local aperitif made from young wine laced with cognac .",27
875,1,0,"To the north , where Poitou borders on the Vendee , shapely clumps of trees are almost the only punctuation marks on widespreading marshy landscapes ; to the south it bubbles with little rolling hills .",12
878,1,0,"To the north , where Poitou borders on the Vendee , shapely clumps of trees are almost the only punctuation marks on widespreading marshy landscapes ; to the south it bubbles with little rolling hills .",19
879,1,0,"To the north , where Poitou borders on the Vendee , shapely clumps of trees are almost the only punctuation marks on widespreading marshy landscapes ; to the south it bubbles with little rolling hills .",20
885,1,0,"To the north , where Poitou borders on the Vendee , shapely clumps of trees are almost the only punctuation marks on widespreading marshy landscapes ; to the south it bubbles with little rolling hills .",32
895,0,1,"Water is everywhere : canals , streams , small busy rivers with charming names like the Boutonne , the Mignon and the Belle , and big lazy rivers like the Sevre Niortaise and the Charente .",12
919,1,0,"The lower reaches of the Sevre Niortaise are swollen with the waters that once covered the whole area , until medieval monks started to dig a spider-web of ditches to drain it .",26
925,1,0,"Now the Marais Poitevin is a pleasantly low-profile tourist attraction where you can take canal-boat trips from villages that have hardly changed in the 15-odd years I 've known them : Maillezais , with a huge and rather dull ruined abbey , and Coulon , where I first ate the delicious local version of moules marinieres called mouclade .",7
930,1,0,"Now the Marais Poitevin is a pleasantly low-profile tourist attraction where you can take canal-boat trips from villages that have hardly changed in the 15-odd years I 've known them : Maillezais , with a huge and rather dull ruined abbey , and Coulon , where I first ate the delicious local version of moules marinieres called mouclade .",15
933,0,1,"Now the Marais Poitevin is a pleasantly low-profile tourist attraction where you can take canal-boat trips from villages that have hardly changed in the 15-odd years I 've known them : Maillezais , with a huge and rather dull ruined abbey , and Coulon , where I first ate the delicious local version of moules marinieres called mouclade .",21
939,1,0,"Now the Marais Poitevin is a pleasantly low-profile tourist attraction where you can take canal-boat trips from villages that have hardly changed in the 15-odd years I 've known them : Maillezais , with a huge and rather dull ruined abbey , and Coulon , where I first ate the delicious local version of moules marinieres called mouclade .",38
950,1,0,"Drifting between grassy polders to which farmers have to ferry their cattle in punts , or following leafy twisting lanes marked only by rusty signs proclaiming the ‘ Venise Verte ’ , you 're in an all-green , mysteriously silent world ; only the occasional fisherman , twitching his rod above the algae-smothered waters , disturbs the stillness .",0
959,1,0,"Drifting between grassy polders to which farmers have to ferry their cattle in punts , or following leafy twisting lanes marked only by rusty signs proclaiming the ‘ Venise Verte ’ , you 're in an all-green , mysteriously silent world ; only the occasional fisherman , twitching his rod above the algae-smothered waters , disturbs the stillness .",18
961,1,0,"Drifting between grassy polders to which farmers have to ferry their cattle in punts , or following leafy twisting lanes marked only by rusty signs proclaiming the ‘ Venise Verte ’ , you 're in an all-green , mysteriously silent world ; only the occasional fisherman , twitching his rod above the algae-smothered waters , disturbs the stillness .",20
975,1,0,"Drifting between grassy polders to which farmers have to ferry their cattle in punts , or following leafy twisting lanes marked only by rusty signs proclaiming the ‘ Venise Verte ’ , you 're in an all-green , mysteriously silent world ; only the occasional fisherman , twitching his rod above the algae-smothered waters , disturbs the stillness .",52
977,1,0,"Drifting between grassy polders to which farmers have to ferry their cattle in punts , or following leafy twisting lanes marked only by rusty signs proclaiming the ‘ Venise Verte ’ , you 're in an all-green , mysteriously silent world ; only the occasional fisherman , twitching his rod above the algae-smothered waters , disturbs the stillness .",55
995,1,0,"There is more greenery further south in the deep forest of Chize ( with the fine Renaissance chateau of Dampierre-sur-Boutonne at its edge ) ; and more marshes to the west around Rochefort and Marennes , where those mussels and oysters are raised .",42
1002,1,0,"Somnolent now within its low grey walls and stumpy towers , it was once rich on salt , and powerful to boot .",0
1012,1,0,"It had a son to be proud of : Samuel Champlain , founder of Quebec , who was born there around 1569 .",3
1013,1,0,"It had a son to be proud of : Samuel Champlain , founder of Quebec , who was born there around 1569 .",6
1021,1,0,"A century later , it had an adoptive daughter to weep for : 20-year-old Marie Mancini , niece of Louis XIV 's minister Mazarin .",7
1022,1,0,"A century later , it had an adoptive daughter to weep for : 20-year-old Marie Mancini , niece of Louis XIV 's minister Mazarin .",8
1100,1,0,"She never used it , having got some of the plumbing details wrong .",11
1107,0,1,"Wriggling across country on the D216 to Port-d'Envaux , you come to two more chateaux : 18th-century Panloy , flaking romantically away on its hillock overlooking a bend in the Charente and , almost next door , the much older , moated Crazannes , half-smothered in amazing flamboyant Gothic carving .",19
1109,1,0,"Wriggling across country on the D216 to Port-d'Envaux , you come to two more chateaux : 18th-century Panloy , flaking romantically away on its hillock overlooking a bend in the Charente and , almost next door , the much older , moated Crazannes , half-smothered in amazing flamboyant Gothic carving .",21
1115,1,0,"Wriggling across country on the D216 to Port-d'Envaux , you come to two more chateaux : 18th-century Panloy , flaking romantically away on its hillock overlooking a bend in the Charente and , almost next door , the much older , moated Crazannes , half-smothered in amazing flamboyant Gothic carving .",34
1116,1,0,"Wriggling across country on the D216 to Port-d'Envaux , you come to two more chateaux : 18th-century Panloy , flaking romantically away on its hillock overlooking a bend in the Charente and , almost next door , the much older , moated Crazannes , half-smothered in amazing flamboyant Gothic carving .",35
1166,1,0,"There 's also a Renaissance fountain , and an extremely odd conglomeration of church buildings comprising one ancient ruin , one proper church , and the skeleton faade and nave of a rather pompous and unfinished 18th-century abbey .",10
1179,1,0,"There 's also a Renaissance fountain , and an extremely odd conglomeration of church buildings comprising one ancient ruin , one proper church , and the skeleton faade and nave of a rather pompous and unfinished 18th-century abbey .",33
1206,1,0,"Saintes , with Gallo-Roman remains , a beautiful Romanesque abbey and an atmospheric medieval quarter , is 17 miles south of St Jean ; 15-odd miles to the north-west is Surgeres , all of whose public buildings , including an engagingly asymmetrical church , are within the 16th-century castle walls , scattered among beautiful gardens and parkland — perfect for picnicking .",12
1219,0,1,"Saintes , with Gallo-Roman remains , a beautiful Romanesque abbey and an atmospheric medieval quarter , is 17 miles south of St Jean ; 15-odd miles to the north-west is Surgeres , all of whose public buildings , including an engagingly asymmetrical church , are within the 16th-century castle walls , scattered among beautiful gardens and parkland — perfect for picnicking .",40
1237,0,1,"Just under 10 miles south-west of St Jean , on the Brouage road , St-Savinien is at the upper limit of the tidal reaches of the Charente .",19
1247,1,0,"The villagers ' main hobby seems to be fishing with peculiar , saucer-shaped nets suspended from precariously-perched bankside huts .",12
1265,1,0,"‘ Even salmon , ’ he assured me , ‘ but of course those are protected and must be thrown back .",20
1284,1,0,"But Aulnay , just over 10 miles north-east of St Jean , is probably the best , its unassuming architecture a perfect frame for the sheer artistry of the carvings round its doors and windows .",18
1288,1,0,"But Aulnay , just over 10 miles north-east of St Jean , is probably the best , its unassuming architecture a perfect frame for the sheer artistry of the carvings round its doors and windows .",25
1295,1,0,"Biblical motifs recur — some art-experts call them sermons in stone , and their messages would certainly have been clear to the often-illiterate medieval pilgrims trudging to Santiago de Compostela in Spain .",1
1299,1,0,"Biblical motifs recur — some art-experts call them sermons in stone , and their messages would certainly have been clear to the often-illiterate medieval pilgrims trudging to Santiago de Compostela in Spain .",8
1300,1,0,"Biblical motifs recur — some art-experts call them sermons in stone , and their messages would certainly have been clear to the often-illiterate medieval pilgrims trudging to Santiago de Compostela in Spain .",10
1301,1,0,"Biblical motifs recur — some art-experts call them sermons in stone , and their messages would certainly have been clear to the often-illiterate medieval pilgrims trudging to Santiago de Compostela in Spain .",14
1316,1,0,"But these themes are always interspersed with more fanciful ones : grimacing masks , weird animals , exuberant abstract patterns .",11
1320,1,0,"But these themes are always interspersed with more fanciful ones : grimacing masks , weird animals , exuberant abstract patterns .",17
1332,1,0,"I think those 10th- and 11th-century sculptors were motivated not just by piety but also by a certain competitive spirit : if a church was finer than the one in the next village , more pilgrims would surely pause there .",25
1339,1,0,Today 's attraction-merchants are doing no more to lure 20th-century tourists than their medieval forebears did for pilgrims .,2
1340,0,1,Today 's attraction-merchants are doing no more to lure 20th-century tourists than their medieval forebears did for pilgrims .,8
1342,1,0,Today 's attraction-merchants are doing no more to lure 20th-century tourists than their medieval forebears did for pilgrims .,13
1343,1,0,Today 's attraction-merchants are doing no more to lure 20th-century tourists than their medieval forebears did for pilgrims .,14
1344,1,0,Today 's attraction-merchants are doing no more to lure 20th-century tourists than their medieval forebears did for pilgrims .,17
1352,0,1,Law : Always take along a friend to sue : Litigation can pay off even in the unlikeliest circumstances .,12
1362,0,1,WHEN things go wrong you can sue more often than you may think .,2
1388,0,1,"Take up references before giving credit , lending money , letting in tenants , taking on staff .",0
1391,0,1,"Take up references before giving credit , lending money , letting in tenants , taking on staff .",5
1394,0,1,"Take up references before giving credit , lending money , letting in tenants , taking on staff .",10
1396,0,1,"Take up references before giving credit , lending money , letting in tenants , taking on staff .",14
1404,1,0,"Ask banks , building societies , former landlords , present and past employers .",9
1420,0,1,"The subject of a bad reference can sue the referee for libel but has to show the referee was upto no good : spite , ill-will or some improper motive will do .",9
1423,0,1,"The subject of a bad reference can sue the referee for libel but has to show the referee was upto no good : spite , ill-will or some improper motive will do .",17
1426,1,0,"The subject of a bad reference can sue the referee for libel but has to show the referee was upto no good : spite , ill-will or some improper motive will do .",25
1431,1,0,"Take along a prosperous adviser on all shopping sprees , demonstrate a high degree of trust and strong reliance in what they say and you may have unexpected protection should the seller go out of business and the goods fall to pieces .",4
1433,0,1,"Take along a prosperous adviser on all shopping sprees , demonstrate a high degree of trust and strong reliance in what they say and you may have unexpected protection should the seller go out of business and the goods fall to pieces .",8
1444,0,1,"Take along a prosperous adviser on all shopping sprees , demonstrate a high degree of trust and strong reliance in what they say and you may have unexpected protection should the seller go out of business and the goods fall to pieces .",32
1463,0,1,She stipulated that it must never have been involved in an accident .,8
1474,1,0,She bought it .,1
1476,0,1,It had been in an accident and it was worthless .,9
1482,0,1,"In May last year the Court of Appeal upheld a judgment against the friend for more than £5,500 damages for negligence because he had owed the accountant a duty of care .",8
1492,0,1,Your conservatory collapses as a result of negligence of the professionals who were engaged by the previous owner to put it up .,2
1506,1,0,"You can sue the professionals — builders , architects , surveyors or engineers — by courtesy of the Defective Premises Act 1972 , despite the fact that you never had a contract with them yourself .",15
1513,1,0,"There are strict time limits : generally , six years from when damage first occurred ; where the damage was initially ‘ latent ’ you are given longer — three years from when you could have discovered it , with a longstop of 15 years .",2
1520,1,0,"There are strict time limits : generally , six years from when damage first occurred ; where the damage was initially ‘ latent ’ you are given longer — three years from when you could have discovered it , with a longstop of 15 years .",14
1524,1,0,"There are strict time limits : generally , six years from when damage first occurred ; where the damage was initially ‘ latent ’ you are given longer — three years from when you could have discovered it , with a longstop of 15 years .",26
1536,1,0,It may also be possible to claim damages against a local authority for negligently failing to ensure that construction work complied with the relevant building regulations .,14
1546,0,1,A solicitor fails to draw up a will within a reasonable time for a client who subsequently dies .,4
1547,1,0,A solicitor fails to draw up a will within a reasonable time for a client who subsequently dies .,10
1553,0,1,You lose the gift which the will would have made .,3
1606,1,0,This is what the House of Lords decided in two cases last April in spite of an attempt to get the valuers off the hook by a disclaimer which said : ‘ I accept that the valuer does not warrant anything stated in his report as being accurate …,47
1634,0,1,But a disclaimer can never take away your rights under the Defective Premises Act 1972 for the collapsing conservatory or prevent anyone being sued for negligence which has caused death or injury .,8
1640,0,1,But a disclaimer can never take away your rights under the Defective Premises Act 1972 for the collapsing conservatory or prevent anyone being sued for negligence which has caused death or injury .,20
1659,0,1,Or after we followed the duff advice of a legal journalist in a newspaper ?,3
1660,0,1,Or after we followed the duff advice of a legal journalist in a newspaper ?,5
1669,0,1,The day thrift turned into a nightmare .,3
1675,1,0,GEORGE Tyson is not a gambling man nor does he take unnecessary risks .,5
1689,1,0,"He does n't smoke or drink , and even if he wanted to , two heart attacks and a by-pass operation have made the decision for him .",24
1694,0,1,"By his own account , Mr Tyson is thrifty and states quite proudly that neither he or his wife Rosie are a burden on any form of social or government support .",10
1712,1,0,"A life of saving had , by 1985 , given them a small nest-egg of £15,000 on which the interest would help supplement their pensions .",3
1714,0,1,"A life of saving had , by 1985 , given them a small nest-egg of £15,000 on which the interest would help supplement their pensions .",12
1715,0,1,"A life of saving had , by 1985 , given them a small nest-egg of £15,000 on which the interest would help supplement their pensions .",13
1728,1,0,"To the Tysons , that meant nothing extravagant — just an extra £135 a month to make life at home in South Ruislip , Middlesex easier .",19
1785,1,0,"Fate determined that a short while before the businesses failed , they transferred the £10,000 to BCI because of the better returns being offered .",9
1789,1,0,"Fate determined that a short while before the businesses failed , they transferred the £10,000 to BCI because of the better returns being offered .",21
1800,0,1,"In the days that followed , the Tysons found that they and 18,000 other investors had been the victims of a financial crash of global proportions .",25
1811,0,1,"After the initial shock and disbelief , the Tysons grew angry — at the advisers who convinced them about Barlow Clowes , at the Midland bank manager who gave verbal assurances of its security , at the regulatory authorities responsible for the investment community and at the Department of Trade and Industry which allowed the company to trade .",9
1823,1,0,"After the initial shock and disbelief , the Tysons grew angry — at the advisers who convinced them about Barlow Clowes , at the Midland bank manager who gave verbal assurances of its security , at the regulatory authorities responsible for the investment community and at the Department of Trade and Industry which allowed the company to trade .",33
1836,1,0,"‘ I felt it was so safe , they were so professional , ’ said Mr Tyson .",6
1845,0,1,‘ I feel appalled by the way these professional guardians have treated us .,9
1846,0,1,‘ I feel appalled by the way these professional guardians have treated us .,11
1847,1,0,"If you were a gambling man it would not affect you , it would just be lost .",4
1868,0,1,"Ironically , it was the Government which he partly blamed for the affair that gave him the chance to return to work after retirement .",9
1872,1,0,"Ironically , it was the Government which he partly blamed for the affair that gave him the chance to return to work after retirement .",19
1877,0,1,"A change in the tax rules affecting pensions was shortly followed by a job with the Department of Environment 's Property Services Agency , a post which carries him through to March and may see him stay until he is 70 .",5
1889,0,1,"A change in the tax rules affecting pensions was shortly followed by a job with the Department of Environment 's Property Services Agency , a post which carries him through to March and may see him stay until he is 70 .",27
1901,1,0,"Putting it as politely as he can , Mr Tyson said the whole affair ‘ encouraged ’ him to return to paid employment .",19
1908,0,1,"And like all of the other investors , he and his wife were in a quandry .",15
1932,1,0,So they compromised and gave £100 to the Barlow Clowes Investors Group which was formed last July to represent the investors ' interests and co-ordinate the fight for compensation .,14
